case_id,dim_x,dim_y,dim_z,spacing_x_mm,spacing_y_mm,spacing_z_mm
case_164_0000,512,512,34,0.4947509765625,0.4947509765625,5.0
case_168_0000,512,512,33,0.48828125,0.48828125,5.0
case_165_0000,512,512,36,0.48828125,0.48828125,5.0
case_162_0000,512,512,35,0.513671875,0.513671875,5.0
case_161_0000,512,512,32,0.4947509765625,0.4947509765625,5.0
case_181_0000,512,512,39,0.48828125,0.48828125,5.0
case_187_0000,512,512,34,0.466796875,0.466796875,5.0
case_182_0000,512,512,38,0.4947509765625,0.4947509765625,5.0
case_184_0000,512,512,34,0.48828125,0.48828125,5.0
case_179_0000,512,512,32,0.3710939884185791,0.3710939884185791,5.0
case_180_0000,512,512,38,0.4947509765625,0.4947509765625,5.0
case_178_0000,512,512,34,0.4947509765625,0.4947509765625,5.0
case_192_0000,512,512,32,0.48828125,0.48828125,5.0
case_143_0000,512,512,42,0.4947509765625,0.4947509765625,5.0
case_133_0000,512,512,33,0.48828125,0.48828125,5.0
case_142_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.0
case_146_0000,512,512,32,0.48828125,0.48828125,5.0
case_151_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.0
case_157_0000,512,512,36,0.4882810115814209,0.4882810115814209,5.0
case_153_0000,512,512,38,0.49486300349235535,0.49486300349235535,5.0
case_150_0000,512,512,36,0.443359375,0.443359375,5.0
case_130_0000,512,512,30,0.40234375,0.40234375,5.0
case_141_0000,512,512,38,0.48828125,0.48828125,5.0
case_062_0000,512,512,38,0.462890625,0.462890625,5.0
case_190_0000,512,512,29,0.404296875,0.404296875,5.0
case_155_0000,512,512,30,0.48828125,0.48828125,5.00948429107666
case_081_0000,512,512,30,0.68359375,0.68359375,5.018729209899902
case_019_0000,512,512,28,0.4882810115814209,0.4882810115814209,5.019999980926514
case_006_0000,512,512,36,0.4882810115814209,0.4882810115814209,5.027002334594727
case_176_0000,512,512,36,0.4882810115814209,0.4882810115814209,5.042999267578125
case_058_0000,512,512,30,0.40234375,0.40234375,5.0430908203125
case_035_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.043144226074219
case_091_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.048999786376953
case_014_0000,512,512,28,0.4882810115814209,0.4882810115814209,5.062324523925781
case_113_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.062325477600098
case_078_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.070000648498535
case_167_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.093584060668945
case_170_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.094000339508057
case_030_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.1024322509765625
case_076_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.112003326416016
case_156_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.121000289916992
case_122_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.121000289916992
case_075_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.121397018432617
case_045_0000,512,512,30,0.46875,0.46875,5.1314697265625
case_060_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.141999244689941
case_137_0000,512,512,32,0.3984380066394806,0.3984380066394806,5.142000198364258
case_175_0000,512,512,30,0.48828125,0.48828125,5.14208984375
case_024_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.153000354766846
case_053_0000,512,512,30,0.431640625,0.431640625,5.16455078125
case_018_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.176000595092773
case_074_0000,512,512,34,0.48828125,0.48828125,5.17626953125
case_031_0000,512,512,28,0.4882810115814209,0.4882810115814209,5.176380157470703
case_038_0000,512,512,28,0.4882810115814209,0.4882810115814209,5.176380157470703
case_126_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.188999176025391
case_082_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.201000213623047
case_127_0000,512,512,30,0.48828125,0.48828125,5.20147705078125
case_125_0000,512,512,32,0.48828125,0.48828125,5.2147216796875
case_029_0000,512,512,32,0.443359375,0.443359375,5.21484375
case_108_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.214999198913574
case_183_0000,512,512,28,0.4882810115814209,0.4882810115814209,5.215000152587891
case_145_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.215000152587891
case_011_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.228458404541016
case_017_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.243000030517578
case_136_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.243000030517578
case_013_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.243000030517578
case_172_0000,512,512,36,0.4882810115814209,0.4882810115814209,5.256999969482422
case_189_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.258000373840332
case_124_0000,512,512,30,0.48828125,0.48828125,5.2724609375
case_032_0000,512,512,32,0.48828125,0.48828125,5.2724609375
case_084_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.288000106811523
case_001_0000,512,512,28,0.4882810115814209,0.4882810115814209,5.288000106811523
case_118_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.28800106048584
case_169_0000,512,512,30,0.48828125,0.48828125,5.2880859375
case_025_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.303999423980713
case_154_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.3040008544921875
case_087_0000,512,512,34,0.537109375,0.537109375,5.30419921875
case_135_0000,512,512,32,0.48828125,0.48828125,5.32080078125
case_086_0000,512,512,32,0.48828125,0.48828125,5.373893737792969
case_173_0000,512,512,28,0.4882810115814209,0.4882810115814209,5.373931884765625
case_163_0000,512,512,28,0.4882810115814209,0.4882810115814209,5.374000549316406
case_068_0000,512,512,32,0.48828125,0.48828125,5.3740234375
case_085_0000,512,512,30,0.48828125,0.48828125,5.392578125
case_073_0000,512,512,32,0.48828125,0.48828125,5.392578125
case_186_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.392669677734375
case_046_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.392673015594482
case_102_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.392673015594482
case_106_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.392673492431641
case_095_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.392673492431641
case_105_0000,512,512,36,0.4882810115814209,0.4882810115814209,5.392673492431641
case_002_0000,512,512,28,0.4882810115814209,0.4882810115814209,5.392673492431641
case_003_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.392673492431641
case_007_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.392673492431641
case_088_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.392673492431641
case_115_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.392673492431641
case_107_0000,512,512,28,0.4882810115814209,0.4882810115814209,5.392673492431641
case_191_0000,512,512,28,0.4882810115814209,0.4882810115814209,5.392673492431641
case_048_0000,512,512,28,0.4882810115814209,0.4882810115814209,5.392677307128906
case_174_0000,512,512,30,0.4882810115814209,0.4882810115814209,5.392677307128906
case_036_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.392999649047852
case_149_0000,512,512,30,0.48828125,0.48828125,5.431884765625
case_129_0000,512,512,32,0.48828125,0.48828125,5.431884765625
case_159_0000,512,512,30,0.48828125,0.48828125,5.431884765625
case_158_0000,512,512,32,0.48828125,0.48828125,5.431884765625
case_134_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.451999664306641
case_015_0000,512,512,32,0.48828125,0.48828125,5.45220947265625
case_144_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.472999572753906
case_008_0000,512,512,30,0.48828125,0.48828125,5.47314453125
case_040_0000,512,512,32,0.48828125,0.48828125,5.47314453125
case_185_0000,512,512,32,0.51953125,0.51953125,5.47314453125
case_120_0000,512,512,32,0.48828125,0.48828125,5.5168304443359375
case_177_0000,512,512,32,0.486328125,0.486328125,5.516845703125
case_039_0000,512,512,32,0.48828125,0.48828125,5.516845703125
case_152_0000,512,512,28,0.4882810115814209,0.4882810115814209,5.562999725341797
case_121_0000,512,512,28,0.4882810115814209,0.4882810115814209,5.563000202178955
case_140_0000,512,512,32,0.48828125,0.48828125,5.58697509765625
case_065_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.610999584197998
case_083_0000,512,512,32,0.55859375,0.55859375,5.716796875
case_098_0000,512,512,28,0.625,0.625,6.0
case_010_0000,512,512,28,0.48828125,0.48828125,6.0
case_103_0000,512,512,28,0.53515625,0.53515625,6.0
case_037_0000,512,512,24,0.58203125,0.58203125,6.1578369140625
case_072_0000,512,512,28,0.533203125,0.533203125,6.291168212890625
case_132_0000,512,512,24,0.48828125,0.48828125,6.4268798828125
case_110_0000,512,512,28,0.48828125,0.48828125,6.44873046875
case_050_0000,512,512,24,0.48828125,0.48828125,6.5181884765625
